column_name,percentage,interpolated_value_above,interpolated_value_below
classic_leagues_competed_in,100,4.0,35.0
classic_leagues_competed_in,95,6.02,14.522
classic_leagues_competed_in,90,6.226,11.508
classic_leagues_competed_in,85,6.431,10.124
classic_leagues_competed_in,80,6.636,9.248
classic_leagues_competed_in,75,6.842,8.597
classic_leagues_competed_in,70,7.043,8.025
classic_leagues_competed_in,65,7.23,7.662
classic_leagues_competed_in,60,7.416,7.308
classic_leagues_competed_in,55,7.603,6.976
classic_leagues_competed_in,50,7.79,6.79
classic_leagues_competed_in,45,7.976,6.603
classic_leagues_competed_in,40,8.308,6.416
classic_leagues_competed_in,35,8.662,6.23
classic_leagues_competed_in,30,9.025,6.043
classic_leagues_competed_in,25,9.597,5.842
classic_leagues_competed_in,20,10.248,5.636
classic_leagues_competed_in,15,11.124,5.431
classic_leagues_competed_in,10,12.508,5.226
classic_leagues_competed_in,5,15.522,5.02
h2h_leagues_competed_in,100,0.0,9.0
h2h_leagues_competed_in,95,0.06,1.012
h2h_leagues_competed_in,90,0.119,0.552
h2h_leagues_competed_in,85,0.179,0.1
h2h_leagues_competed_in,80,0.238,0.0
h2h_leagues_competed_in,75,0.298,0.0
h2h_leagues_competed_in,70,0.358,0.0
h2h_leagues_competed_in,65,0.417,0.0
h2h_leagues_competed_in,60,0.477,0.0
h2h_leagues_competed_in,55,0.536,0.0
h2h_leagues_competed_in,50,0.596,0.0
h2h_leagues_competed_in,45,0.656,0.0
h2h_leagues_competed_in,40,0.715,0.0
h2h_leagues_competed_in,35,0.775,0.0
h2h_leagues_competed_in,30,0.834,0.0
h2h_leagues_competed_in,25,0.894,0.0
h2h_leagues_competed_in,20,0.954,0.0
h2h_leagues_competed_in,15,1.1,0.0
h2h_leagues_competed_in,10,1.552,0.0
h2h_leagues_competed_in,5,2.012,0.0
last_deadline_bank,100,0.0,265.0
last_deadline_bank,95,0.28,65.884
last_deadline_bank,90,0.559,44.69
last_deadline_bank,85,0.839,32.547
last_deadline_bank,80,1.294,25.352
last_deadline_bank,75,1.988,19.755
last_deadline_bank,70,2.833,16.367
last_deadline_bank,65,3.747,13.668
last_deadline_bank,60,4.925,10.514
last_deadline_bank,55,5.987,8.474
last_deadline_bank,50,7.615,6.615
last_deadline_bank,45,9.474,4.987
last_deadline_bank,40,11.514,3.925
last_deadline_bank,35,14.668,2.747
last_deadline_bank,30,17.367,1.833
last_deadline_bank,25,20.755,0.988
last_deadline_bank,20,26.352,0.294
last_deadline_bank,15,33.547,0.0
last_deadline_bank,10,45.69,0.0
last_deadline_bank,5,67.442,0.0
last_deadline_value,100,952.0,1073.0
last_deadline_value,95,979.881,1043.828
last_deadline_value,90,984.944,1035.757
last_deadline_value,85,989.275,1029.926
last_deadline_value,80,993.012,1025.8
last_deadline_value,75,995.779,1022.131
last_deadline_value,70,998.783,1018.433
last_deadline_value,65,1001.409,1015.346
last_deadline_value,60,1003.923,1012.775
last_deadline_value,55,1006.563,1010.381
last_deadline_value,50,1008.862,1007.862
last_deadline_value,45,1011.381,1005.563
last_deadline_value,40,1013.775,1002.923
last_deadline_value,35,1016.346,1000.409
last_deadline_value,30,1019.433,997.783
last_deadline_value,25,1023.131,994.779
last_deadline_value,20,1026.8,992.012
last_deadline_value,15,1030.926,988.275
last_deadline_value,10,1036.757,983.944
last_deadline_value,5,1044.828,978.881
last_deadline_total_transfers,100,0.0,269.0
last_deadline_total_transfers,95,0.331,51.515
last_deadline_total_transfers,90,0.662,39.78
last_deadline_total_transfers,85,0.993,35.286
last_deadline_total_transfers,80,3.102,32.671
last_deadline_total_transfers,75,6.069,30.828
last_deadline_total_transfers,70,8.674,29.408
last_deadline_total_transfers,65,12.266,28.156
last_deadline_total_transfers,60,16.279,26.963
last_deadline_total_transfers,55,20.378,25.48
last_deadline_total_transfers,50,23.943,22.943
last_deadline_total_transfers,45,26.48,19.378
last_deadline_total_transfers,40,27.963,15.279
last_deadline_total_transfers,35,29.156,11.266
last_deadline_total_transfers,30,30.408,7.674
last_deadline_total_transfers,25,31.828,5.069
last_deadline_total_transfers,20,33.671,2.102
last_deadline_total_transfers,15,36.286,0.0
last_deadline_total_transfers,10,40.78,0.0
last_deadline_total_transfers,5,52.515,0.0
summary_overall_points,100,0.0,2153.0
summary_overall_points,95,797.818,1972.37
summary_overall_points,90,1134.588,1924.641
summary_overall_points,85,1271.697,1890.659
summary_overall_points,80,1344.87,1858.4
summary_overall_points,75,1408.701,1825.644
summary_overall_points,70,1464.681,1794.398
summary_overall_points,65,1514.77,1765.967
summary_overall_points,60,1556.549,1735.687
summary_overall_points,55,1607.526,1691.955
summary_overall_points,50,1653.199,1652.199
